KLVR Charger Detection Monitor - Started 2025-08-26 13:47:27
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:47:27 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=1
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=3
# 32 13:47:44 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 33 13:47:44 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 34 13:47:45 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 35 13:47:45 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 36 13:47:46 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 37 13:47:46 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 38 13:47:47 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 39 13:47:47 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 40 13:47:48 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 41 13:47:48 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1544mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1556mV | Δ=   4mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=   2mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=1
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1594mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1576mV | Δ=   4mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1578mV | Δ=   6mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1590mV | Δ=   2mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1548mV | Δ=   2mV | Cycle=1
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1592mV | AAA_OFF=1592mV | Δ=   0mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1538mV | Δ=   2mV | Cycle=1
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1560mV | Δ=   6mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1558mV | Δ= -10mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1586mV | Δ=   2mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV | Cycle=1
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1580mV | Δ=   2mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=3
# 42 13:47:49 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 43 13:47:50 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 44 13:47:50 | [AA TEST] Total: 43 | Correct AA: 43 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 48 → 43
# 45 13:47:51 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 43 → 13
# 46 13:47:51 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 47 13:47:52 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 48 13:47:52 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 49 13:47:53 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 50 13:47:53 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 51 13:47:54 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1566mV | Δ= -10mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1606mV | Δ= -36mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1564mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
# 52 13:47:54 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 53 13:47:55 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 54 13:47:55 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 55 13:47:56 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 56 13:47:56 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 57 13:47:57 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 58 13:47:58 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 59 13:47:58 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 60 13:47:59 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 61 13:47:59 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1566mV | Δ= -10mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1606mV | Δ= -36mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1564mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
# 62 13:48:00 | [AA TEST] Total: 13 | Correct AA: 13 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 63 13:48:00 | [AA TEST] Total: 34 | Correct AA: 34 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 13 → 34
# 64 13:48:01 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 34 → 48
# 65 13:48:01 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 66 13:48:02 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 67 13:48:02 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 68 13:48:03 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 69 13:48:03 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 70 13:48:04 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 71 13:48:05 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1534mV | Δ=   2mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=3
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1538mV | Δ=  -6mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1546mV | Δ=   4mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1566mV | Δ=   6mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1594mV | Δ=   0mV | Cycle=3
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1576mV | Δ= -20mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV | Cycle=1
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1566mV | Δ= -10mV | Cycle=1
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1606mV | Δ= -36mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1564mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1614mV | AAA_OFF=1582mV | Δ=  32mV | Cycle=3
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1592mV | Δ= -40mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1602mV | Δ= -38mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1576mV | Δ=   6mV | Cycle=2
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1562mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1578mV | Δ=  -2mV | Cycle=3
# 72 13:48:05 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 73 13:48:06 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 74 13:48:06 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 75 13:48:07 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 76 13:48:07 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 77 13:48:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 78 13:48:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 79 13:48:09 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 80 13:48:09 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 81 13:48:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1534mV | Δ=   2mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=1
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=   0mV | Cycle=3
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1538mV | Δ=  -6mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1546mV | Δ=   4mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1566mV | Δ=   6mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1594mV | AAA_OFF=1594mV | Δ=   0mV | Cycle=3
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1576mV | Δ= -20mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1578mV | Δ=   2mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV | Cycle=1
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1566mV | Δ= -10mV | Cycle=1
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1566mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1598mV | Δ= -40mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1606mV | Δ= -36mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1590mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=1
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1564mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1614mV | AAA_OFF=1582mV | Δ=  32mV | Cycle=3
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=1
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1592mV | Δ= -40mV | Cycle=2
