KLVR Charger Detection Monitor - Started 2025-08-26 14:55:34
Monitoring: http://10.110.73.155:8000
============================================================

#  1 14:55:34 | [AAA TEST] Total: 25 | Detected AAA: 24 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1594mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    🔬 SLOT 14 DETAILS: Detected=KLVR-AA | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=2mV | Cycle=1
#  2 14:55:35 | [AAA TEST] Total: 25 | Detected AAA: 24 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1594mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=1
    🚨 SLOT 14: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=1
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1282mV | AAA_OFF= 948mV | Δ= 334mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1528mV | AAA_OFF=1168mV | Δ= 360mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1436mV | AAA_OFF=1088mV | Δ= 348mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1182mV | Δ= 358mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1570mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=1552mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1584mV | Δ=1582mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1584mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1548mV | Δ=1540mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1554mV | Δ=1546mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 14 DETAILS: Detected=KLVR-AA | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=2mV | Cycle=1
#  3 14:55:35 | [AAA TEST] Total: 25 | Detected AAA: 24 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1594mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=3
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=1
    🚨 SLOT 14: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=   2mV | Cycle=1
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1282mV | AAA_OFF= 948mV | Δ= 334mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1528mV | AAA_OFF=1168mV | Δ= 360mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1436mV | AAA_OFF=1088mV | Δ= 348mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1182mV | Δ= 358mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1544mV | Δ=1540mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1570mV | AAA_OFF=1570mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1552mV | Δ=1552mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1580mV | AAA_OFF=1584mV | Δ=1582mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1584mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1548mV | Δ=1540mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1554mV | Δ=1546mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1592mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    🚨🚨 AAA DETECTION FAILURE! 1 AAA batteries not detected!
    🔬 SLOT 14 DETAILS: Detected=KLVR-AA | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=2mV | Cycle=1
#  4 14:55:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 25 → 24
#  5 14:55:37 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  6 14:55:38 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  7 14:55:38 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  8 14:55:39 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  9 14:55:40 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 10 14:55:41 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 11 14:55:41 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1562mV | Δ=1562mV | Cycle=3
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1544mV | Δ=1552mV | Cycle=1
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1282mV | AAA_OFF= 948mV | Δ= 334mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1550mV | Δ=1550mV | Cycle=2
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1528mV | AAA_OFF=1168mV | Δ= 360mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1436mV | AAA_OFF=1088mV | Δ= 348mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1182mV | Δ= 358mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1554mV | Δ=1552mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1556mV | Δ=1560mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1578mV | AAA_OFF=1578mV | Δ=   0mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1576mV | Δ=1568mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1584mV | Δ=   0mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1546mV | Δ=1546mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1594mV | AAA_OFF=1586mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=1550mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=1544mV | Cycle=1
# 12 14:55:42 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 13 14:55:43 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 14 14:55:44 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 15 14:55:44 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 16 14:55:45 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 17 14:55:46 | [AAA TEST] Total: 22 | Detected AAA: 22 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 24 → 22
# 18 14:55:47 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 22 → 0
# 19 14:55:47 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 20 14:55:48 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 21 14:55:49 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 22 14:55:49 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 23 14:55:50 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 24 14:55:51 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 25 14:55:52 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 26 14:55:52 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 27 14:55:53 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 28 14:55:54 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 29 14:55:55 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 30 14:55:55 | [AAA TEST] Total:  0 | Detected AAA:  0 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 31 14:55:56 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1234mV | Δ= 324mV | Cycle=2
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1208mV | Δ= 344mV | Cycle=1
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1392mV | AAA_OFF=1030mV | Δ= 362mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1214mV | Δ= 336mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1174mV | Δ= 366mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1184mV | Δ= 366mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1194mV | Δ= 346mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1200mV | Δ= 358mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1210mV | Δ= 344mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1224mV | Δ= 332mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1210mV | Δ= 350mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1184mV | Δ= 358mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1234mV | Δ= 354mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1232mV | Δ= 328mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1216mV | Δ= 352mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1210mV | Δ= 362mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=2
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1232mV | Δ= 302mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1234mV | Δ= 352mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1218mV | Δ= 316mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1204mV | Δ= 350mV | Cycle=3
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1240mV | Δ= 306mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=1
    📥 BATTERY COUNT: 0 → 24
# 32 14:55:57 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 33 14:55:58 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 34 14:55:58 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 35 14:55:59 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 36 14:56:00 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 37 14:56:01 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 38 14:56:01 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 39 14:56:02 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 40 14:56:03 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 41 14:56:04 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1234mV | Δ= 324mV | Cycle=2
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1208mV | Δ= 344mV | Cycle=1
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1392mV | AAA_OFF=1030mV | Δ= 362mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1214mV | Δ= 336mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1174mV | Δ= 366mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1184mV | Δ= 366mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1194mV | Δ= 346mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1200mV | Δ= 358mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1210mV | Δ= 344mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1224mV | Δ= 332mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1210mV | Δ= 350mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1184mV | Δ= 358mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1234mV | Δ= 354mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1232mV | Δ= 328mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1216mV | Δ= 352mV | Cycle=2
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1572mV | AAA_OFF=1210mV | Δ= 362mV | Cycle=2
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1196mV | Δ= 350mV | Cycle=2
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1232mV | Δ= 302mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1586mV | AAA_OFF=1234mV | Δ= 352mV | Cycle=1
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1534mV | AAA_OFF=1218mV | Δ= 316mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1204mV | Δ= 350mV | Cycle=3
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1240mV | Δ= 306mV | Cycle=2
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=1
# 42 14:56:04 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 43 14:56:05 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 44 14:56:06 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 45 14:56:07 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 46 14:56:07 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 47 14:56:08 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 48 14:56:09 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 49 14:56:09 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 50 14:56:10 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 51 14:56:11 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 12: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1234mV | Δ= 324mV | Cycle=2
    ✅ SLOT 13: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1208mV | Δ= 344mV | Cycle=1
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1392mV | AAA_OFF=1030mV | Δ= 362mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1214mV | Δ= 336mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1174mV | Δ= 366mV | Cycle=3
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1184mV | Δ= 366mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1194mV | Δ= 346mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1200mV | Δ= 358mV | Cycle=2
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1210mV | Δ= 344mV | Cycle=2
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1556mV | AAA_OFF=1224mV | Δ= 332mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1210mV | Δ= 350mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1184mV | Δ= 358mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1234mV | Δ= 354mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1232mV | Δ= 328mV | Cycle=3
