KLVR Charger Detection Monitor - Started 2025-08-28 13:38:35
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:38:35 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1330mV | AAA_OFF=1298mV | Δ=  32mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1294mV | AAA_OFF=1304mV | Δ= -10mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1324mV | Δ=  14mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1562mV | Δ= -12mV | Cycle=1
    ✅ SLOT 21: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1336mV | AAA_OFF=1320mV | Δ=  16mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1306mV | AAA_OFF=1312mV | Δ=  -6mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1304mV | AAA_OFF=1314mV | Δ= -10mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 27: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 29: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1312mV | AAA_OFF=1314mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1342mV | AAA_OFF=1320mV | Δ=  22mV | Cycle=3
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1304mV | AAA_OFF=1314mV | Δ= -10mV | Cycle=2
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1304mV | AAA_OFF=1312mV | Δ=  -8mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1320mV | AAA_OFF=1330mV | Δ= -10mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1170mV | AAA_OFF=1168mV | Δ=   2mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1188mV | AAA_OFF=1184mV | Δ=   4mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1180mV | AAA_OFF=1184mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
#  2 13:38:36 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  3 13:38:36 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 13:38:37 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 13:38:38 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 13:38:39 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 13:38:39 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 13:38:40 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 13:38:41 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 13:38:42 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 13:38:42 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1544mV | Δ=  16mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1322mV | AAA_OFF=1316mV | Δ=   6mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1558mV | Δ=  -8mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1340mV | AAA_OFF=1344mV | Δ=  -4mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1316mV | AAA_OFF=1314mV | Δ=   2mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 10: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1324mV | Δ=   2mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1330mV | AAA_OFF=1298mV | Δ=  32mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1294mV | AAA_OFF=1304mV | Δ= -10mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1324mV | Δ=  14mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1562mV | Δ= -12mV | Cycle=1
    ✅ SLOT 21: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1336mV | AAA_OFF=1320mV | Δ=  16mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1306mV | AAA_OFF=1312mV | Δ=  -6mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1304mV | AAA_OFF=1314mV | Δ= -10mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 26: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 27: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 29: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1312mV | AAA_OFF=1314mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1342mV | AAA_OFF=1320mV | Δ=  22mV | Cycle=3
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1304mV | AAA_OFF=1314mV | Δ= -10mV | Cycle=2
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1304mV | AAA_OFF=1312mV | Δ=  -8mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1320mV | AAA_OFF=1330mV | Δ= -10mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1170mV | AAA_OFF=1168mV | Δ=   2mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1188mV | AAA_OFF=1184mV | Δ=   4mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1180mV | AAA_OFF=1184mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
# 12 13:38:43 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 13 13:38:44 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 14 13:38:44 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 15 13:38:45 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 16 13:38:46 | [AA TEST] Total: 26 | Correct AA: 26 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 48 → 26
# 17 13:38:47 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 26 → 4
# 18 13:38:47 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 19 13:38:48 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 20 13:38:49 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 21 13:38:50 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1558mV | Δ=  -8mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1324mV | Δ=   2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1342mV | AAA_OFF=1348mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1558mV | Δ= -10mV | Cycle=2
# 22 13:38:50 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 23 13:38:51 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 24 13:38:52 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 25 13:38:53 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 26 13:38:53 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 27 13:38:54 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 28 13:38:55 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 29 13:38:56 | [AA TEST] Total:  4 | Correct AA:  4 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 30 13:38:56 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 4 → 5
# 31 13:38:57 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1358mV | AAA_OFF=1342mV | Δ=  16mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1324mV | Δ=   2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1340mV | AAA_OFF=1340mV | Δ=   0mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1342mV | AAA_OFF=1348mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1232mV | AAA_OFF=1236mV | Δ=  -4mV | Cycle=2
# 32 13:38:58 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 33 13:38:59 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 34 13:38:59 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 35 13:39:00 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 36 13:39:01 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 37 13:39:02 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 38 13:39:02 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 39 13:39:03 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 40 13:39:04 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 41 13:39:04 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1358mV | AAA_OFF=1342mV | Δ=  16mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1324mV | Δ=   2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1340mV | AAA_OFF=1340mV | Δ=   0mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1342mV | AAA_OFF=1348mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1232mV | AAA_OFF=1236mV | Δ=  -4mV | Cycle=2
# 42 13:39:05 | [AA TEST] Total:  5 | Correct AA:  5 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 43 13:39:06 | [AA TEST] Total:  3 | Correct AA:  3 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 5 → 3
# 44 13:39:07 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 3 → 9
# 45 13:39:07 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 46 13:39:08 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 47 13:39:09 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 48 13:39:10 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 49 13:39:10 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 50 13:39:11 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 51 13:39:12 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1324mV | Δ=   2mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1574mV | Δ= -10mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1550mV | Δ=  10mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1584mV | AAA_OFF=1580mV | Δ=   4mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1558mV | Δ=   4mV | Cycle=3
# 52 13:39:13 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 53 13:39:13 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 54 13:39:14 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 55 13:39:15 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 56 13:39:16 | [AA TEST] Total:  9 | Correct AA:  9 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 57 13:39:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 9 → 48
# 58 13:39:17 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 59 13:39:18 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 60 13:39:19 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 61 13:39:19 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1548mV | Δ= -12mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=3
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1568mV | Δ=   0mV | Cycle=2
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1330mV | AAA_OFF=1340mV | Δ= -10mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=  -2mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1358mV | AAA_OFF=1364mV | Δ=  -6mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1570mV | Δ=  -4mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1340mV | Δ=  -2mV | Cycle=2
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1562mV | Δ=  14mV | Cycle=2
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV | Cycle=2
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1324mV | Δ=   2mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1530mV | AAA_OFF=1544mV | Δ= -14mV | Cycle=3
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1332mV | Δ=   6mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1334mV | AAA_OFF=1332mV | Δ=   2mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1374mV | AAA_OFF=1344mV | Δ=  30mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1548mV | Δ=  24mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1576mV | Δ=  12mV | Cycle=1
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1568mV | Δ= -16mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1548mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1356mV | AAA_OFF=1350mV | Δ=   6mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1334mV | AAA_OFF=1338mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1340mV | AAA_OFF=1348mV | Δ=  -8mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 27: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1564mV | Δ=  18mV | Cycle=2
    ✅ SLOT 29: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1566mV | Δ= -14mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1344mV | AAA_OFF=1342mV | Δ=   2mV | Cycle=1
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1374mV | AAA_OFF=1350mV | Δ=  24mV | Cycle=3
