KLVR Charger Detection Monitor - Started 2025-08-26 12:43:57
Monitoring: http://10.110.73.155:8000
============================================================

#  1 12:43:57 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1540mV | Δ=   8mV
#  9 12:44:02 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 12:44:02 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 12:44:03 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1540mV | Δ=   8mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1530mV | Δ=  10mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1478mV | AAA_OFF=1480mV | Δ=  -2mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1476mV | AAA_OFF=1476mV | Δ=   0mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1484mV | AAA_OFF=1488mV | Δ=  -4mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1548mV | Δ=   6mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1500mV | Δ=   4mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1552mV | Δ=  10mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1582mV | Δ= -14mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1566mV | Δ=   4mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1578mV | Δ=   4mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=  -2mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=  -4mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1548mV | Δ=  -8mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1486mV | AAA_OFF=1484mV | Δ=   2mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1562mV | Δ=   4mV
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1502mV | AAA_OFF=1512mV | Δ= -10mV
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1464mV | AAA_OFF=1470mV | Δ=  -6mV
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1578mV | Δ=  -8mV
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1488mV | AAA_OFF=1488mV | Δ=   0mV
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1504mV | Δ=   0mV
# 12 12:44:03 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 13 12:44:04 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 14 12:44:04 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 15 12:44:05 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 16 12:44:05 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 17 12:44:06 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 18 12:44:06 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 19 12:44:07 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 20 12:44:07 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 21 12:44:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1540mV | Δ=   8mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1530mV | Δ=  10mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1478mV | AAA_OFF=1480mV | Δ=  -2mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1476mV | AAA_OFF=1476mV | Δ=   0mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1484mV | AAA_OFF=1488mV | Δ=  -4mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1548mV | Δ=   6mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1500mV | Δ=   4mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1552mV | Δ=  10mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1582mV | Δ= -14mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1566mV | Δ=   4mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1578mV | Δ=   4mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=  -2mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=  -4mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1548mV | Δ=  -8mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1486mV | AAA_OFF=1484mV | Δ=   2mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1562mV | Δ=   4mV
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1502mV | AAA_OFF=1512mV | Δ= -10mV
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1464mV | AAA_OFF=1470mV | Δ=  -6mV
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1578mV | Δ=  -8mV
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1488mV | AAA_OFF=1488mV | Δ=   0mV
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1504mV | Δ=   0mV
# 22 12:44:09 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 23 12:44:09 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 24 12:44:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 25 12:44:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 26 12:44:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 27 12:44:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 28 12:44:12 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 29 12:44:12 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 30 12:44:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 31 12:44:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1540mV | Δ=   8mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1530mV | Δ=  10mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1478mV | AAA_OFF=1480mV | Δ=  -2mV
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1476mV | AAA_OFF=1476mV | Δ=   0mV
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1570mV | Δ=  -2mV
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1588mV | Δ=   2mV
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1564mV | Δ=  -2mV
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1484mV | AAA_OFF=1488mV | Δ=  -4mV
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1570mV | Δ=   2mV
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1548mV | Δ=   6mV
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1500mV | Δ=   4mV
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1552mV | Δ=  10mV
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1582mV | Δ= -14mV
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1566mV | Δ=   4mV
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1572mV | Δ=   2mV
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1560mV | Δ=   4mV
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1582mV | AAA_OFF=1578mV | Δ=   4mV
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1544mV | Δ=  -2mV
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1566mV | Δ=  -4mV
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1548mV | Δ=  -8mV
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1486mV | AAA_OFF=1484mV | Δ=   2mV
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1494mV | AAA_OFF=1494mV | Δ=   0mV
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1562mV | Δ=   4mV
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1560mV | Δ=  -2mV
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1502mV | AAA_OFF=1512mV | Δ= -10mV
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1464mV | AAA_OFF=1470mV | Δ=  -6mV
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1552mV | Δ=   6mV
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1578mV | Δ=  -8mV
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1574mV | Δ=  -2mV
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1488mV | AAA_OFF=1488mV | Δ=   0mV
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1504mV | AAA_OFF=1504mV | Δ=   0mV
# 32 12:44:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 33 12:44:15 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 34 12:44:15 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 35 12:44:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 36 12:44:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 37 12:44:17 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 38 12:44:17 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 39 12:44:18 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 40 12:44:18 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 41 12:44:19 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1540mV | Δ=   8mV
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1530mV | Δ=  10mV
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1568mV | Δ=  -4mV
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=  -2mV
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1478mV | AAA_OFF=1480mV | Δ=  -2mV
