KLVR Charger Detection Monitor - Started 2025-08-28 13:23:47
Monitoring: http://10.110.73.155:8000
============================================================

#  1 13:23:47 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=1
#  6 13:23:51 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 13:23:51 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 13:23:52 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 13:23:53 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 13:23:54 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 13:23:54 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1318mV | AAA_OFF=1312mV | Δ=   6mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1328mV | AAA_OFF=1326mV | Δ=   2mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1316mV | AAA_OFF=1316mV | Δ=   0mV | Cycle=2
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1322mV | AAA_OFF=1322mV | Δ=   0mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1328mV | AAA_OFF=1328mV | Δ=   0mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1328mV | AAA_OFF=1326mV | Δ=   2mV | Cycle=3
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1316mV | Δ=   8mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1314mV | AAA_OFF=1312mV | Δ=   2mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1310mV | AAA_OFF=1306mV | Δ=   4mV | Cycle=2
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1542mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1548mV | Δ=   4mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1530mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1536mV | Δ=   6mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1532mV | Δ=   8mV | Cycle=2
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   6mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=1
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1532mV | Δ=   4mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV | Cycle=3
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1322mV | Δ=   2mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1320mV | AAA_OFF=1318mV | Δ=   2mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1322mV | Δ=   2mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1316mV | AAA_OFF=1312mV | Δ=   4mV | Cycle=2
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1332mV | AAA_OFF=1330mV | Δ=   2mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1556mV | Δ=   2mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1546mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 36: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1572mV | Δ=   4mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1320mV | Δ=   4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1350mV | AAA_OFF=1350mV | Δ=   0mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1332mV | AAA_OFF=1334mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1544mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 44: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1544mV | Δ=   8mV | Cycle=2
    ✅ SLOT 46: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=2
# 12 13:23:55 | [AA TEST] Total: 37 | Correct AA: 37 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 48 → 37
# 13 13:23:56 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 37 → 16
# 14 13:23:57 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 15 13:23:57 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 16 13:23:58 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 17 13:23:59 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 18 13:24:00 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 19 13:24:00 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 20 13:24:01 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 21 13:24:02 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=1
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1530mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1536mV | Δ=   6mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1532mV | Δ=   8mV | Cycle=2
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1558mV | Δ=   6mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1548mV | Δ=   0mV | Cycle=1
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1532mV | Δ=   4mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1558mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1320mV | Δ=   4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1350mV | AAA_OFF=1350mV | Δ=   0mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1332mV | AAA_OFF=1334mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1544mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=2
# 22 13:24:03 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 23 13:24:03 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 24 13:24:04 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 25 13:24:05 | [AA TEST] Total: 16 | Correct AA: 16 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 26 13:24:06 | [AA TEST] Total: 46 | Correct AA: 46 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 16 → 46
# 27 13:24:06 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 46 → 48
# 28 13:24:07 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 29 13:24:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 30 13:24:08 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 31 13:24:09 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1314mV | AAA_OFF=1324mV | Δ= -10mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1340mV | AAA_OFF=1338mV | Δ=   2mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1330mV | Δ=  -4mV | Cycle=3
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1332mV | Δ=  -6mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1336mV | Δ= -12mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1336mV | Δ=   2mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1328mV | Δ=  10mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1332mV | AAA_OFF=1322mV | Δ=  10mV | Cycle=1
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1322mV | AAA_OFF=1316mV | Δ=   6mV | Cycle=3
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1564mV | Δ=   4mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1580mV | Δ= -18mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1524mV | AAA_OFF=1538mV | Δ= -14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1546mV | Δ=   8mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1536mV | Δ=   4mV | Cycle=1
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV | Cycle=2
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1548mV | Δ=  -8mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1542mV | Δ=   2mV | Cycle=3
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1568mV | Δ= -16mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   8mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1572mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1334mV | AAA_OFF=1328mV | Δ=   6mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1576mV | Δ= -14mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1596mV | AAA_OFF=1592mV | Δ=   4mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1556mV | Δ=  -6mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1330mV | AAA_OFF=1328mV | Δ=   2mV | Cycle=2
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1336mV | Δ=   2mV | Cycle=2
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1336mV | Δ= -10mV | Cycle=2
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1328mV | AAA_OFF=1326mV | Δ=   2mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1340mV | AAA_OFF=1336mV | Δ=   4mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1556mV | Δ=   6mV | Cycle=1
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1574mV | Δ=   2mV | Cycle=2
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1548mV | Δ=  24mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1590mV | AAA_OFF=1566mV | Δ=  24mV | Cycle=2
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1576mV | AAA_OFF=1576mV | Δ=   0mV | Cycle=3
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1572mV | Δ=   0mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1330mV | AAA_OFF=1328mV | Δ=   2mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1372mV | AAA_OFF=1358mV | Δ=  14mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1344mV | AAA_OFF=1338mV | Δ=   6mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1542mV | Δ=  10mV | Cycle=2
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1600mV | AAA_OFF=1572mV | Δ=  28mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1554mV | Δ=   0mV | Cycle=1
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1554mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=2
# 32 13:24:10 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 33 13:24:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 34 13:24:11 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 35 13:24:12 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 36 13:24:13 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 37 13:24:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 38 13:24:14 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 39 13:24:15 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 40 13:24:16 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 41 13:24:17 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1322mV | Δ=   4mV | Cycle=1
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1314mV | AAA_OFF=1324mV | Δ= -10mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1340mV | AAA_OFF=1338mV | Δ=   2mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1330mV | Δ=  -4mV | Cycle=3
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1326mV | AAA_OFF=1332mV | Δ=  -6mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1324mV | AAA_OFF=1336mV | Δ= -12mV | Cycle=2
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1336mV | Δ=   2mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1338mV | AAA_OFF=1328mV | Δ=  10mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1332mV | AAA_OFF=1322mV | Δ=  10mV | Cycle=1
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1322mV | AAA_OFF=1316mV | Δ=   6mV | Cycle=3
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=3
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1550mV | Δ=   2mV | Cycle=2
    ✅ SLOT 12: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1524mV | AAA_OFF=1538mV | Δ= -14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1546mV | Δ=   8mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1536mV | Δ=   4mV | Cycle=1
