KLVR Charger Detection Monitor - Started 2025-08-26 15:42:59
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:43:04 | ❌ Connection failed
#  2 15:43:09 | ❌ Connection failed
#  3 15:43:10 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  4 15:43:11 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  5 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  6 15:43:12 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  7 15:43:13 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  8 15:43:14 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
#  9 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 10 15:43:15 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 11 15:43:16 | [AA TEST] Total:  8 | Correct AA:  8 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1530mV | Δ=   0mV | Cycle=2
# 31 15:43:31 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1532mV | Δ=  12mV | Cycle=2
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1544mV | AAA_OFF=1542mV | Δ=   2mV | Cycle=2
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=2
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1552mV | Δ=  -6mV | Cycle=3
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1564mV | AAA_OFF=1564mV | Δ=   0mV | Cycle=3
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1518mV | Δ=   8mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1570mV | Δ=   0mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1552mV | Δ=   4mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1566mV | Δ=  -6mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1552mV | Δ= -10mV | Cycle=3
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1546mV | Δ=   4mV | Cycle=1
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1552mV | Δ=   2mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1548mV | Δ=  -6mV | Cycle=3
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1568mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1538mV | Δ=  14mV | Cycle=2
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1528mV | Δ=  10mV | Cycle=3
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1550mV | Δ=  22mV | Cycle=1
    ✅ SLOT 27: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1546mV | Δ=  14mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1550mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1550mV | Δ=   4mV | Cycle=2
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1534mV | Δ=   0mV | Cycle=2
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1556mV | Δ=  16mV | Cycle=1
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1520mV | Δ=   0mV | Cycle=1
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1560mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1568mV | Δ=   4mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1576mV | Δ= -28mV | Cycle=3
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1544mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1536mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1556mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1556mV | Δ=  -4mV | Cycle=2
# 32 15:43:32 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 33 15:43:32 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 34 15:43:33 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 35 15:43:34 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 36 15:43:35 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 37 15:43:35 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 38 15:43:36 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 39 15:43:37 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 48 → 28
# 40 15:43:38 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 41 15:43:39 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=3
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1562mV | Δ= -30mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1580mV | Δ= -10mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1536mV | Δ=  10mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1536mV | Δ=   0mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1546mV | Δ=  16mV | Cycle=3
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1542mV | Δ= -22mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1562mV | Δ= -46mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1580mV | Δ= -20mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1576mV | Δ= -34mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1514mV | Δ=  38mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1566mV | Δ=   8mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
# 42 15:43:39 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 43 15:43:40 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 44 15:43:41 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 45 15:43:42 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 46 15:43:42 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 47 15:43:43 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 48 15:43:44 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 49 15:43:45 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 50 15:43:45 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 51 15:43:46 | [AA TEST] Total: 28 | Correct AA: 28 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1566mV | Δ=   2mV | Cycle=3
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1562mV | Δ= -30mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1570mV | AAA_OFF=1580mV | Δ= -10mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1536mV | Δ=  10mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1564mV | Δ=   2mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
    ✅ SLOT 33: KLVR-AA  | AAA_ON=1536mV | AAA_OFF=1536mV | Δ=   0mV | Cycle=3
    ✅ SLOT 34: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1546mV | Δ=  16mV | Cycle=3
    ✅ SLOT 35: KLVR-AA  | AAA_ON=1520mV | AAA_OFF=1542mV | Δ= -22mV | Cycle=2
    ✅ SLOT 36: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1550mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 37: KLVR-AA  | AAA_ON=1516mV | AAA_OFF=1562mV | Δ= -46mV | Cycle=2
    ✅ SLOT 38: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1554mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 39: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=2
    ✅ SLOT 40: KLVR-AA  | AAA_ON=1548mV | AAA_OFF=1552mV | Δ=  -4mV | Cycle=2
    ✅ SLOT 41: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1580mV | Δ= -20mV | Cycle=2
    ✅ SLOT 42: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1576mV | Δ= -34mV | Cycle=2
    ✅ SLOT 43: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1558mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 44: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1546mV | Δ=  -4mV | Cycle=3
    ✅ SLOT 45: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1514mV | Δ=  38mV | Cycle=3
    ✅ SLOT 46: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1566mV | Δ=   8mV | Cycle=2
    ✅ SLOT 47: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   2mV | Cycle=2
# 52 15:43:47 | [AA TEST] Total: 47 | Correct AA: 47 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 28 → 47
# 53 15:43:48 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    📥 BATTERY COUNT: 47 → 48
# 54 15:43:48 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 55 15:43:49 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 56 15:43:50 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 57 15:43:50 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 58 15:43:51 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 59 15:43:52 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 60 15:43:53 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
# 61 15:43:53 | [AA TEST] Total: 48 | Correct AA: 48 | Misdetected as AAA:  0 | Retries: 0 | ✅ All correct
    ✅ SLOT  0: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1586mV | Δ= -34mV | Cycle=3
    ✅ SLOT  1: KLVR-AA  | AAA_ON=1542mV | AAA_OFF=1542mV | Δ=   0mV | Cycle=1
    ✅ SLOT  2: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1566mV | Δ=   0mV | Cycle=1
    ✅ SLOT  3: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=1552mV | Δ=   0mV | Cycle=1
    ✅ SLOT  4: KLVR-AA  | AAA_ON=1554mV | AAA_OFF=1588mV | Δ= -34mV | Cycle=2
    ✅ SLOT  5: KLVR-AA  | AAA_ON=1552mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=1
    ✅ SLOT  6: KLVR-AA  | AAA_ON=1532mV | AAA_OFF=1544mV | Δ= -12mV | Cycle=2
    ✅ SLOT  7: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1550mV | Δ=   0mV | Cycle=1
    ✅ SLOT  8: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1576mV | Δ=  -8mV | Cycle=3
    ✅ SLOT  9: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=1576mV | Δ=  -4mV | Cycle=1
    ✅ SLOT 10: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1554mV | Δ=   6mV | Cycle=1
    ✅ SLOT 11: KLVR-AA  | AAA_ON=1526mV | AAA_OFF=1546mV | Δ= -20mV | Cycle=1
    ✅ SLOT 12: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1534mV | Δ=  12mV | Cycle=2
    ✅ SLOT 13: KLVR-AA  | AAA_ON=1528mV | AAA_OFF=1542mV | Δ= -14mV | Cycle=2
    ✅ SLOT 14: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=1564mV | Δ= -14mV | Cycle=2
    ✅ SLOT 15: KLVR-AA  | AAA_ON=1534mV | AAA_OFF=1522mV | Δ=  12mV | Cycle=3
    ✅ SLOT 16: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 17: KLVR-AA  | AAA_ON=1568mV | AAA_OFF=1580mV | Δ= -12mV | Cycle=3
    ✅ SLOT 18: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=1546mV | Δ=   0mV | Cycle=2
    ✅ SLOT 19: KLVR-AA  | AAA_ON=1550mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 20: KLVR-AA  | AAA_ON=1566mV | AAA_OFF=1574mV | Δ=  -8mV | Cycle=3
    ✅ SLOT 21: KLVR-AA  | AAA_ON=1540mV | AAA_OFF=1540mV | Δ=   0mV | Cycle=2
    ✅ SLOT 22: KLVR-AA  | AAA_ON=1538mV | AAA_OFF=1550mV | Δ= -12mV | Cycle=2
    ✅ SLOT 23: KLVR-AA  | AAA_ON=1574mV | AAA_OFF=1576mV | Δ=  -2mV | Cycle=1
    ✅ SLOT 24: KLVR-AA  | AAA_ON=1546mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 25: KLVR-AA  | AAA_ON=1578mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=2
    ✅ SLOT 26: KLVR-AA  | AAA_ON=1580mV | AAA_OFF=1580mV | Δ=   0mV | Cycle=3
    ✅ SLOT 27: KLVR-AA  | AAA_ON=   0mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 28: KLVR-AA  | AAA_ON=1572mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 29: KLVR-AA  | AAA_ON=1562mV | AAA_OFF=1560mV | Δ=   0mV | Cycle=3
    ✅ SLOT 30: KLVR-AA  | AAA_ON=1588mV | AAA_OFF=1584mV | Δ=   4mV | Cycle=3
    ✅ SLOT 31: KLVR-AA  | AAA_ON=1560mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=1
    ✅ SLOT 32: KLVR-AA  | AAA_ON=1556mV | AAA_OFF=1548mV | Δ=   8mV | Cycle=3
