KLVR Charger Detection Monitor - Started 2025-08-26 15:07:09
Monitoring: http://10.110.73.155:8000
============================================================

#  1 15:07:14 | ❌ Connection failed
#  2 15:07:20 | ❌ Connection failed
#  3 15:07:25 | ❌ Connection failed
#  4 15:07:31 | ❌ Connection failed
#  5 15:07:33 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  6 15:07:33 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  7 15:07:34 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  8 15:07:35 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
#  9 15:07:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 10 15:07:36 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 11 15:07:37 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1192mV | Δ= 368mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1236mV | Δ= 306mV | Cycle=3
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1214mV | Δ= 344mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON= 308mV | AAA_OFF= 314mV | Δ=   0mV
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1254mV | Δ= 292mV | Cycle=1
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1258mV | Δ= 302mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1236mV | Δ= 310mV | Cycle=2
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1202mV | Δ= 350mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1264mV | Δ= 312mV | Cycle=1
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1562mV | Δ=   0mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1266mV | Δ= 302mV | Cycle=3
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1286mV | Δ= 296mV | Cycle=3
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1212mV | Δ= 336mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1238mV | Δ= 308mV | Cycle=1
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1280mV | Δ= 296mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1234mV | Δ= 304mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1210mV | Δ= 344mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1254mV | Δ= 296mV | Cycle=3
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=3
# 42 15:08:00 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 43 15:08:01 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 44 15:08:02 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 45 15:08:02 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 46 15:08:03 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 47 15:08:04 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 48 15:08:04 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 49 15:08:05 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 50 15:08:06 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 51 15:08:07 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1556mV | Δ=   0mV | Cycle=1
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1230mV | Δ= 312mV | Cycle=3
    ✅ SLOT 26: KLVR-AAA | AAA_ON=1438mV | AAA_OFF=1094mV | Δ= 344mV | Cycle=3
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1250mV | Δ= 304mV | Cycle=1
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1536mV | AAA_OFF=1246mV | Δ= 290mV | Cycle=2
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1464mV | AAA_OFF=1122mV | Δ= 342mV | Cycle=1
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1540mV | AAA_OFF=1222mV | Δ= 318mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1240mV | Δ= 306mV | Cycle=3
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1234mV | Δ= 310mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1576mV | AAA_OFF=1242mV | Δ= 334mV | Cycle=3
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1248mV | Δ= 312mV | Cycle=1
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1578mV | AAA_OFF=1250mV | Δ= 328mV | Cycle=3
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1202mV | Δ= 350mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1254mV | Δ= 314mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1568mV | AAA_OFF=1266mV | Δ= 302mV | Cycle=3
    ✅ SLOT 39: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1264mV | Δ= 296mV | Cycle=1
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1582mV | AAA_OFF=1270mV | Δ= 312mV | Cycle=1
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1216mV | Δ= 322mV | Cycle=3
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=   0mV | Δ=   0mV | Cycle=3
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1588mV | AAA_OFF=1262mV | Δ= 326mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1226mV | Δ= 312mV | Cycle=2
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1554mV | AAA_OFF=1254mV | Δ= 300mV | Cycle=1
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1218mV | Δ= 344mV | Cycle=3
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1192mV | Δ= 352mV | Cycle=3
# 52 15:08:07 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 53 15:08:08 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 54 15:08:09 | [AAA TEST] Total: 24 | Detected AAA: 24 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 55 15:08:10 | [AAA TEST] Total:  8 | Detected AAA:  8 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 24 → 8
# 56 15:08:10 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    📥 BATTERY COUNT: 8 → 1
# 57 15:08:11 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 58 15:08:12 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 59 15:08:13 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 60 15:08:13 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 61 15:08:14 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1542mV | AAA_OFF=1230mV | Δ= 312mV | Cycle=3
# 62 15:08:15 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 63 15:08:16 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 64 15:08:16 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 65 15:08:17 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 66 15:08:18 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 67 15:08:19 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 68 15:08:19 | [AAA TEST] Total:  1 | Detected AAA:  1 | Failed to detect:  0 | Retries: 0 | ✅ All detected
# 69 15:08:20 | [AAA TEST] Total: 24 | Detected AAA: 23 | Failed to detect:  1 | Retries: 0 | 🚨 DETECTION FAILED!
    ✅ SLOT 24: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1198mV | Δ= 360mV | Cycle=3
    ✅ SLOT 25: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1242mV | Δ= 296mV | Cycle=1
    🚨 SLOT 26: KLVR-AA  | AAA_ON=1094mV | AAA_OFF=1096mV | Δ=  -2mV | Cycle=2
    ✅ SLOT 27: KLVR-AAA | AAA_ON=1552mV | AAA_OFF=1264mV | Δ= 288mV | Cycle=3
    ✅ SLOT 28: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1200mV | Δ= 346mV | Cycle=1
    ✅ SLOT 29: KLVR-AAA | AAA_ON=1470mV | AAA_OFF=1128mV | Δ= 342mV | Cycle=2
    ✅ SLOT 30: KLVR-AAA | AAA_ON=1538mV | AAA_OFF=1184mV | Δ= 354mV | Cycle=2
    ✅ SLOT 31: KLVR-AAA | AAA_ON=1546mV | AAA_OFF=1574mV | Δ=   0mV | Cycle=2
    ✅ SLOT 32: KLVR-AAA | AAA_ON=1558mV | AAA_OFF=1558mV | Δ=   0mV | Cycle=3
    ✅ SLOT 33: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1208mV | Δ= 340mV | Cycle=3
    ✅ SLOT 34: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1262mV | Δ= 298mV | Cycle=2
    ✅ SLOT 35: KLVR-AAA | AAA_ON=1560mV | AAA_OFF=1210mV | Δ= 350mV | Cycle=1
    ✅ SLOT 36: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1234mV | Δ= 314mV | Cycle=2
    ✅ SLOT 37: KLVR-AAA | AAA_ON=1574mV | AAA_OFF=1286mV | Δ= 288mV | Cycle=3
    ✅ SLOT 38: KLVR-AAA | AAA_ON=1564mV | AAA_OFF=1204mV | Δ= 360mV | Cycle=2
    ✅ SLOT 39: KLVR-AAA | AAA_ON= 346mV | AAA_OFF=   0mV | Δ=   0mV
    ✅ SLOT 40: KLVR-AAA | AAA_ON=1590mV | AAA_OFF=1238mV | Δ= 352mV | Cycle=3
    ✅ SLOT 41: KLVR-AAA | AAA_ON=1550mV | AAA_OFF=1196mV | Δ= 354mV | Cycle=1
    ✅ SLOT 42: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1256mV | Δ= 288mV | Cycle=2
    ✅ SLOT 43: KLVR-AAA | AAA_ON=1594mV | AAA_OFF=1236mV | Δ= 358mV | Cycle=2
    ✅ SLOT 44: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1196mV | Δ= 352mV | Cycle=3
    ✅ SLOT 45: KLVR-AAA | AAA_ON=1544mV | AAA_OFF=1240mV | Δ= 304mV | Cycle=2
    ✅ SLOT 46: KLVR-AAA | AAA_ON=1562mV | AAA_OFF=1212mV | Δ= 350mV | Cycle=1
    ✅ SLOT 47: KLVR-AAA | AAA_ON=1548mV | AAA_OFF=1200mV | Δ= 348mV | Cycle=1
